time,longitude,latitude,mean_x,mean_y,mean_z,RMS_x,RMS_y,RMS_z
1708448417534711600,75.8205795,26.8630872,1.2380646211060654e-06,0.00048006281080470144,0.007676878724554782,1.7508877782334238e-06,0.0006788904448987205,0.00940950137898529
1708448417544587500,75.8205795,26.8630872,0.0033805623784352768,0.0060937071924267285,0.005129024492125362,0.004779086596984775,0.007967887452855907,0.005888723244022167
1708448417554490400,75.8205795,26.8630872,0.009846751496296588,0.010319719393012418,0.00528716212472137,0.010319636348113044,0.010359553279269603,0.005952666321787484
1708448417564422000,75.8205795,26.8630872,0.008057816621390879,0.008853407298865905,0.006246061897119758,0.009418805967648323,0.008871019175556221,0.007256589248059425
1708448417574382800,75.8205795,26.8630872,0.0015903902515702107,0.004152542289782563,0.010902803602135313,0.0022491503139596045,0.005865239063627347,0.01094523715227151
1708448417584372500,75.8205795,26.8630872,0.00011078265843936013,0.0010286268217817292,0.011975278372021687,0.00015666918876766511,0.0014473694873344412,0.01197578008150924
1708448417594388700,75.8205795,26.8630872,0.00011078184577764113,0.0010234336991494849,0.008837394997220239,0.00015666918876344974,0.0014473508393186326,0.00941519125662349
1708448417604429000,75.8205795,26.8630872,2.66303770484963e-15,6.56728784784645e-08,0.00818540895425023,3.7511937628180354e-15,8.994658325794861e-08,0.008587061679283409
1708448417614490000,75.8205795,26.8630872,0.0005713812136666758,0.002568563496443631,0.013412627770280655,0.0008080550616488609,0.003632407436335333,0.013668373645531506
1708448417624567000,75.8205795,26.8630872,0.0005713816115508505,0.0025717495221326955,0.010198992897717108,0.0008080550616490568,0.0036324103423439847,0.011755314417090565
1708448417634655200,75.8205795,26.8630872,0.0016103603305654768,0.0020877034322769232,0.008467776526020937,0.0022773928570964403,0.0029478664723391356,0.009414309598477113
1708448417644749800,75.8205795,26.8630872,0.001620273446848583,0.002431593502290182,0.009625626879967677,0.002277436010315101,0.0029884623989319343,0.010069370629919408
1708448417654845700,75.8205795,26.8630872,0.0006427351269754354,0.0006518663736085266,0.004762980458396763,0.0008950547149721678,0.0006532446919154152,0.0051303268976853
1708448417664849000,75.8205795,26.8630872,0.005426037145876268,0.0005387441029613754,0.005948319750432588,0.00683745249930186,0.0005433645334928592,0.00670382086438414
1708448417674822700,75.8205795,26.8630872,0.004793231559187146,0.0002453487531739817,0.006901408791681531,0.006778630414283952,0.0003313383150604637,0.007225175952429798
1708448417684796200,75.8205795,26.8630872,1.3781657552736038e-05,0.0004903391163230106,0.008278067231393946,1.946755586497831e-05,0.0006776087798396708,0.008993532499460074
1708448417694769700,75.8205795,26.8630872,1.5138017227694358e-05,0.0005525879741483459,0.009928499197091349,1.9564051298332062e-05,0.0006853648344309992,0.010102117289450483
1708448417704743400,75.8205795,26.8630872,0.0002373337890225594,0.0017202123161587479,0.006291873283538824,0.0003337054607213002,0.0023310132183612113,0.0065365776976382935
1708448417714717000,75.8205795,26.8630872,0.00023596390012138734,0.0016549757575496967,0.006515919958252251,0.00033369981666486363,0.002328719339092072,0.006814727285058599
1708448417724690400,75.8205795,26.8630872,0.0022452221424768,0.0021572067519211938,0.01207454104288817,0.003175220073297096,0.0030389742357905024,0.012589205584879684
1708448417734664200,75.8205795,26.8630872,0.0027032516517252496,0.0036192544129310046,0.015920168802249147,0.003240618637104816,0.0036822990710207097,0.01592268084460742
1708448417744637700,75.8205795,26.8630872,0.0017553144698562939,0.002493179203880138,0.01327512981770432,0.0019456284893662383,0.0025330399485908577,0.013594170275065001
1708448417754611200,75.8205795,26.8630872,0.0029184587310660233,0.004603278284743829,0.01060735640494,0.002936376774354041,0.00526611936308843,0.010610544640342204
1708448417764585000,75.8205795,26.8630872,0.002219519980728845,0.006260794523052767,0.009439890423333135,0.002443860752643439,0.006325178527217236,0.009547222212713717
1708448417774558500,75.8205795,26.8630872,0.000598344068841938,0.0026862597054521905,0.008461300109992905,0.0008461857944235331,0.0037905317962036557,0.00847320312507851
1708448417784532000,75.8205795,26.8630872,8.06249227902129e-06,0.00031520257113014816,0.010437812789695387,1.1401583240216551e-05,0.00043742237629059414,0.010548996667092855
1708448417794505700,75.8205795,26.8630872,0.0013701326719529274,0.0034582651573718402,0.010280602859180659,0.0019262923665601473,0.004474807066056155,0.010417734665569204
1708448417804479200,75.8205795,26.8630872,0.0013770754405495818,0.0034523281463745437,0.006882098528659716,0.001926375503306856,0.004473994273977855,0.0070922645117606304
1708448417814453000,75.8205795,26.8630872,0.0001535269717708647,0.0016345951015642594,0.007414017342534352,0.0001970457310078038,0.0019309671297764214,0.007746655874111666
1708448417824426500,75.8205795,26.8630872,0.0001551643292527691,0.002113413664779531,0.012485441642162618,0.00019730852886793297,0.0021835957217231877,0.012801216837965678
1708448417834400000,75.8205795,26.8630872,9.535513514980442e-05,0.00266342806326098,0.010860421494368255,0.0001137776882585124,0.0028813236375495846,0.011737042531542674
1708448417844373800,75.8205795,26.8630872,0.0002613843964065079,0.002712027991218554,0.00868791681987509,0.0002812991361335655,0.002908400827402487,0.008981671427976238
